English,EN Definition,Spanish,ES Definition,https://www.saccourt.ca.gov/general/legal-glossaries/docs/spanish-legal-glossary.pdf
EQUAL PROTECTION,The guarantee in the Fourteenth Amendment to the U.S. Constitution that all persons be treated equally by the law.,IGUAL PROTECCIÓN ANTE LA LEY,La garantía en la Décimocuarta Enmienda de la Constitución de los EE.UU. que todas las personas son tratadas igualmente ante la ley.,
EQUITABLE ACTION,"An action which may be brought for the purpose of restraining the threatened infliction of wrongs or injuries, and the prevention of threatened illegal action.",ACCIÓN EQUITATIVA,Una acción legal que se puede realizar con el propósito de restringir la amenaza de daños o lesiones y la prevención de la amenaza de una acción ilegal.,
EQUITY,"A system of law that supplements the statutory and case law and is based on principles of what is ""fair and right.""",EQUIDAD,Un sistema legal que suplementa el reglamento y ley de caso y se basa en principios de lo que es “justo y correcto.”,
ERROR CORAM NOBIS,Petition filed in trial court seeking relief from conviction based on new facts.,ERROR CORAM NOBIS,"La petición presentada en el tribunal que busca el alivio de la condena, basada en hechos nuevos. ",
ESCAPE BY FORCE OR VIOLENCE,Using force to escape from custody.,ESCAPE A LA FUERZA O POR VIOLENCIA,Uso de fuerza para escapar de la custodia.,
ESCHEAT,The process by which a deceased person's property goes to the state if there is no will or no heirs.,REVERSIÓN AL ESTADO,El proceso por cual la propiedad de una persona difunta pasa al estado si no hay testamento o herederos.,
ESCROW,"Money or a written instrument such as a deed that, by agreement between two parties, is held by a neutral third party (held in escrow) until all conditions of the agreement are met.",PLICA (DEPÓSITO),"Dinero o instrumento escrito, como una escritura, que por el acuerdo entre dos partes, es retenido por una tercera parte neutral (guardado en plica) hasta que todas las condiciones del acuerdo se hayan completado.",
ESTATE,"Everything a person (alive or dead) owns and owes. There are different types of estates, like probate, nonprobate, trust and taxable estates. Probate estate: The property in someone's will. Or, if they do not have a will, the property the probate court handles. Nonprobate estate: The property the probate court does not handle. For example, if there's a trust or joint tenancy. Trust estate: Property in a trust. A trustee controls the trust. Taxable estate: The property subject to federal estate tax when a person dies. For example, life insurance.",PATRIMONIO,"Todo lo que una persona (viva o muerta) posee y debe. Hay diferentes tipos de patrimonio, como por testamento, sin testamento, acciones, y propiedades sujetas a impuestos. Patrimonio en testamento: la propiedad en el testamento de una persona.  O si no tiene un testamento, la propiedad es sometida al tribunal testamentario. Patrimonio sin testamento: la propiedad que el tribunal testamentario no maneja. Por ejemplo, si hay un fideicomiso o condominio. Propiedad de Fideocomiso: la propiedad en un fideocomiso. Un fideicomisario controla el fideicomiso. La Propiedad Taxable: La propiedad sujeta al impuesto federal cuando una persona muere. Por ejemplo, los seguros de vida.",
ESTATE TAX,"Generally, a tax on the privilege of transferring property to others after a person's death. In addition to federal estate taxes, many states have their own estate taxes.",IMPUESTO AL PATRIMONIO,"Generalmente un impuesto en el privilegio de transferir la propiedad a otros después de la muerte de una persona. Además de impuestos federales, muchos estados tienen sus propios impuestos patrimoniales.",
ESTOPPEL,An act or statement that prevents a person from later making claims to the contrary.,INPEDIMENTO,Un acto o declaración que previene a una persona de hacer reclamos contrarios más adelante.,
ET AL,"In Latin, this means ""and others."" Refers to parties not included in the formal name of a court case.",ET AL,"En latín, significa “y otros”.  Se refiere a las partes no incluidas en el nombre formal del caso en un tribunal.",
ET SEQ,"An abbreviation for et sequentes, or et sequentia. Latin meaning ""and the following,"" ordinarily used in referring to a section of statutes.",ET SEQ,"Una abreviación de “et sequentes,” o “et secuentia”. En latín significa “y el siguiente,” refiriéndose comúnmente a una sección de los estatutos.",
ET UX,"In Latin, this means ""and wife.""",ET UX,"En latin, significa “y esposa.”",
EVICTION,Recovery of land or rental property from another by legal process. (See UNLAWFUL DETAINER.),DESALOJO,Recuperación de la tierra o propiedad de renta por medio de un proceso legal.,
EVIDENCE,"Any proof legally presented at trial through witnesses, records, and/or exhibits.",EVIDENCIA,"Cualquier prueba presentada legalmente en el tribunal por testigos, registros y/o documentos de prueba.",
"EVIDENCE, CIRCUMSTANTIAL",Conclusion drawn from proven facts.,EVIDENCIA CIRCUNSTANCIAL,La conclusión derivada de hechos probados,
"EVIDENCE, DIRECT","Evidence in form of a witness's testimony, who actually saw, heard, or touched the subject in question.",EVIDENCIA DIRECTA,"Evidencia en forma de testimonio de un testigo que vio, oyó, o tocó el sujeto en cuestión.",
"EVIDENCE, EVANESCENT","Evidence which can disappear relatively quickly, such as the amount of alcohol in a person's blood.",EVIDENCIA EVANESCENTE,"La evidencia que puede desaparecer relativamente rápido, tal como la cantidad de alcohol en la sangre de una persona.",
"EXAMINATION, DIRECT",The first examination of a witness by the counsel who called the witness to testify.,INTERROGATORIO DIRECTO,El primer interrogatorio de un testigo por un abogado que lo llamó para testificar.,
"EXAMINATION, RECROSS",A second examination of a witness by the opposing counsel after the second examination (or redirect examination) by the counsel who called the witness to testify is completed.,SEGUNDO INTERROGATORIO,Un segundo interrogatorio de un testigo por el abogado opuesto después del segundo interrogatorio (o segundo interrogatorio directo) del abogado que lo llamó para testificar.,
"EXAMINATION, REDIRECT",A second examination of a witness by the counsel who called the witness to testify. This examination is usually focused on certain matters that were discussed by the opposing counsel's examination.,SEGUNDO INTERROGATORIO DIRECTO,Un segundo interrogatorio de un testigo por el abogado que lo llamó para testificar. Este interrogatorio se enfoca generalmente en ciertos asuntos que fueron discutidos por el interrogatorio del abogado opositor.,
EXCEPTIONS,"Declarations by either side in a civil or criminal case reserving the right to appeal a judge's ruling upon a motion. Also, in regulatory cases, objections by either side to points made by the other side or to rulings by the agency or one of its hearing officers.",EXCEPCIONES,"Las declaraciones de cualquiera de las partes en un caso civil o penal que se reservan el derecho de apelar la resolución de un juez luego de una moción. También, en casos regulatorios, las objeciones por cualquiera de las partes a argumentos hechos por la otra parte o a resoluciones tomadas por la agencia o por uno de sus oficiales.",
EXCESSIVE FORCE,Use of unreasonable amount of force by police officer.,FUERZA EXCESIVA,El uso de fuerza desproporcionada por un oficial de policía.,
EXCLUSION OF WITNESSES,"An order of the court requiring all witnesses to remain outside the courtroom until each is called to testify, except the plaintiff or defendant. The witnesses are ordered not to discuss their testimony with each other and may be held in contempt if they violate the order.",EXCLUSIÓN DE TESTIGOS,"Una orden del tribunal que requiere que todos los testigos permanezcan fuera de la sala hasta que cada uno sea llamado a testificar, menos el demandante o el acusado. A los testigos se les ordena no discutir su testimonio con los demás y se puede detenerlos por desacato si ellos violan la orden.",
EXCLUSIONARY RULE,The rule preventing illegally obtained evidence to be used in any trial.,REGLA EXCLUSIONARIA,La regla que previene que la evidencia ilegalmente obtenida sea utilizada en un juicio.,
EXCLUSIVE JURISDICTION,The matter can only be filed in one court.,JURISDICCIÓN EXCLUSIVA,El litigio sólo puede ser presentado en un tribunal.,
EX CONTRACTU,Arising from a contract.,POR CONTRATO,Que surge de un contrato.,
EXCULPATORY EVIDENCE,Evidence which tends to indicate that a defendant did not commit the alleged crime.,EVIDENCIA EXCULPATORIA,La evidencia que tiende a demostrar que un acusado no cometió el delito del que se le acusa.,
EXECUTE,(1) To carry out all terms of a contract or court order; (2) to sign (a document); (3) to kill.,EJECUTAR,(1) Llevar a cabo todos los términos de un contrato o de una orden judicial; (2) firmar (un documento); (3) matar a una persona.,
EXECUTION,"The name of a court order issued to a sheriff, marshal, or constable authorizing and requiring him to carry out the judgment of the court.",EJECUCIÓN,"Orden del tribunal emitido a un alguacil, jefe de policía, o guardia, en la que autoriza y requiere a esta persona llevar a cabo la sentenciad del tribunal.",
EXECUTION OF SENTENCE SUSPENDED,"Imposing a sentence that will not be served. This is frequently ordered in combination with grants of probation. If the defendant is subsequently found in violation of probation, the suspension will be lifted and the sentence carried out.",SUSPENSIÓN DE LA EJECUCIÓN DE UNA SENTENCIA,"Imponer una sentencia que no será cumplida. Se ordena con frecuencia al otorgarse en combinación con la libertad condicional. Si el acusado viola las condiciones y términos de la libertad condicional, la suspensión se levantará y la sentencia será llevada a cabo.",
